29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:16		Copiado:	496520.png
29/09/2025 10:34:16		Copiado:	496527.png
29/09/2025 10:34:16		Copiado:	496573.png
29/09/2025 10:34:16		Copiado:	496739.png
29/09/2025 10:34:16		Copiado:	496818.png
29/09/2025 10:34:16		Copiado:	496865.png
29/09/2025 10:34:16		Copiado:	496866.png
29/09/2025 10:34:16		Copiado:	496867.png
29/09/2025 10:34:16		Copiado:	497022.png
29/09/2025 10:34:16		Copiado:	497023.png
29/09/2025 10:34:16		Copiado:	497025.png
29/09/2025 10:34:16		Copiado:	497026.png
29/09/2025 10:34:16		Copiado:	503213.png
29/09/2025 10:34:16		Copiado:	503223.png
29/09/2025 10:34:16		Copiado:	503226.png
29/09/2025 10:34:16		Copiado:	503227.png
29/09/2025 10:34:16		Copiado:	558106.png
29/09/2025 10:34:16		Copiado:	558107.png
29/09/2025 10:34:16		Copiado:	558108.png
29/09/2025 10:34:16		Copiado:	558111.png
29/09/2025 10:34:16		Copiado:	558159.png
29/09/2025 10:34:16		Copiado:	559064.png
29/09/2025 10:34:16		Copiado:	559066.png
29/09/2025 10:34:16		Copiado:	559110.png
29/09/2025 10:34:16		Copiado:	559117.png
29/09/2025 10:34:16		Copiado:	559122.png
29/09/2025 10:34:16		Copiado:	559417.png
29/09/2025 10:34:16		Copiado:	559434.png
29/09/2025 10:34:16		Copiado:	559442.png
29/09/2025 10:34:16		Copiado:	559464.png
29/09/2025 10:34:16		Copiado:	559593.png
29/09/2025 10:34:16		Copiado:	559620.png
29/09/2025 10:34:16		Copiado:	559710.png
29/09/2025 10:34:16		Copiado:	559718.png
29/09/2025 10:34:16		Copiado:	559719.png
29/09/2025 10:34:16		Copiado:	559739.png
29/09/2025 10:34:16		Copiado:	559740.png
29/09/2025 10:34:16		Copiado:	559899.png
29/09/2025 10:34:16		Copiado:	559918.png
29/09/2025 10:34:16		Copiado:	559924.png
29/09/2025 10:34:16		Copiado:	559925.png
29/09/2025 10:34:16		Copiado:	559959.png
29/09/2025 10:34:16		Copiado:	559960.png
29/09/2025 10:34:16		Copiado:	559961.png
29/09/2025 10:34:16		Copiado:	568277.png
29/09/2025 10:34:16		Copiado:	590000.png
29/09/2025 10:34:16		Copiado:	590001.png
29/09/2025 10:34:16		Copiado:	590002.png
29/09/2025 10:34:16		Copiado:	590003.png
29/09/2025 10:34:16		Copiado:	590004.png
29/09/2025 10:34:16		Copiado:	590005.png
29/09/2025 10:34:16		Copiado:	590006.png
29/09/2025 10:34:16		Copiado:	590007.png
29/09/2025 10:34:16		Copiado:	590008.png
29/09/2025 10:34:17		Copiado:	590009.png
29/09/2025 10:34:17		Copiado:	590010.png
29/09/2025 10:34:17		Copiado:	590011.png
29/09/2025 10:34:17		Copiado:	590012.png
29/09/2025 10:34:17		Copiado:	590013.png
29/09/2025 10:34:17		Copiado:	590014.png
29/09/2025 10:34:17		Copiado:	590015.png
29/09/2025 10:34:17		Copiado:	590016.png
29/09/2025 10:34:17		Copiado:	590017.png
29/09/2025 10:34:17		Copiado:	590018.png
29/09/2025 10:34:17		Copiado:	590019.png
29/09/2025 10:34:17		Copiado:	590020.png
29/09/2025 10:34:17		Copiado:	590021.png
29/09/2025 10:34:17		Copiado:	590022.png
29/09/2025 10:34:17		Copiado:	590023.png
29/09/2025 10:34:17		Copiado:	590024.png
29/09/2025 10:34:17		Copiado:	590025.png
29/09/2025 10:34:17		Copiado:	590026.png
29/09/2025 10:34:17		Copiado:	590027.png
29/09/2025 10:34:17		Copiado:	590028.png
29/09/2025 10:34:17		Copiado:	590029.png
29/09/2025 10:34:17		Copiado:	590030.png
29/09/2025 10:34:17		Copiado:	590031.png
29/09/2025 10:34:17		Copiado:	590032.png
29/09/2025 10:34:17		Copiado:	590033.png
29/09/2025 10:34:17		Copiado:	590034.png
29/09/2025 10:34:17		Copiado:	590035.png
29/09/2025 10:34:17		Copiado:	590036.png
29/09/2025 10:34:17		Copiado:	590037.png
29/09/2025 10:34:17		Copiado:	590038.png
29/09/2025 10:34:17		Copiado:	590039.png
29/09/2025 10:34:17		Copiado:	590040.png
29/09/2025 10:34:17		Copiado:	590041.png
29/09/2025 10:34:17		Copiado:	590042.png
29/09/2025 10:34:17		Copiado:	590043.png
29/09/2025 10:34:17		Copiado:	590044.png
29/09/2025 10:34:17		Copiado:	590045.png
29/09/2025 10:34:17		Copiado:	590046.png
29/09/2025 10:34:17		Copiado:	590047.png
29/09/2025 10:34:17		Copiado:	590048.png
29/09/2025 10:34:17		Copiado:	590049.png
29/09/2025 10:34:17		Copiado:	590050.png
