F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
51959908020173000000500000U0000CARN. G2 BAL (UNIT)      0000020000000000000000000000000
50063338020174000000500865W0000SALADA CANSALADA RAL     0000020000000000000000000000000
50063362020175000000500319W0000SALAT OSSOS BLANCS A     0000020000000000000000000000000
50063396020179000000501415W0000XISTORRA X6 UNIT. 1,     0000020000000000000000000000000
50063584020180000000501097W0000XORIÇO FRESC GRANEL      0000020000000000000000000000000
50063107020181000000500975W0000100500 CAP DE LLOM       0000020000000000000000000000000
50063114020182000000500595W0000100800 CARETA SENCER     0000020000000000000000000000000
50063127020183000000501085W0000101200 COSTELLA CARN     0000020000000000000000000000000
50063128020184000000500935W0000101201 COSTELLA SENC     0000020000000000000000000000000
50063138020185000000500715W0000101301 1/2 ESPINADA      0000020000000000000000000000000
50063142020186000000500805W0000101500 XULETA GIRONA     0000020000000000000000000000000
50063156020187000000500229W0000101800 OSSOS             0000020000000000000000000000000
50063166020188000000500975W0000103000 LLOM CANYA        0000020000000000000000000000000
50063179020189000000500969W0000103100 LLOM SENCER       0000020000000000000000000000000
50063185020190000000500569W0000103700 PAPADA            0000020000000000000000000000000
50063189020191000000500715W0000103900 PEUS DAVANTER     0000020000000000000000000000000
50063194020192000000500525W0000104200 CUES              0000020000000000000000000000000
50063198020193000000500969W0000104304 RETALL 90/10      0000020000000000000000000000000
50063209020194000000501099W0000104800 RELLOM S/CAP      0000020000000000000000000000000
50063215020195000000500330U0000104990 ENV-CERVELL 2     0000020000000000000000000000000
50063220020196000000500889W0000105100 TRIANGLE / CA     0000020000000000000000000000000
50063229020197000000500292W0000105530 MANTEGA EN BR     0000020000000000000000000000000
50063232020198000000500929W0000107100 BARRES TALLAD     0000020000000000000000000000000
50063235020199000000501489W0000107191 ENV-GALTA INT     0000020000000000000000000000000
50063239020200000000500999W0000107505 ROSARIS           0000020000000000000000000000000
50063241020201000000500479W0000108900 GARRONS           0000020000000000000000000000000
50063244020202000000501375W0000109700 LLARDONS CUIT     0000020000000000000000000000000
51063253020204000000502015W0000200501 RAL PRESA         0000020000000000000000000000000
51063286020205000000502125W0000204304 RAL SECRET        0000020000000000000000000000000
51063341020206000000500295U000063341 BOTIFARRA CEPS     0000020000000000000000000000000
50063334020207000000501075W0000810200 BOTIFARRA ROM     0000020000000000000000000000000
50063335020208000000501229W0000811000 SALSITXA ROMA     0000020000000000000000000000000
51063340020209000000500295U0000813518 BOTIFARRA PAR     0000020000000000000000000000000
51063342020210000000500285U0000813718 BOTIFARRA ESV     0000020000000000000000000000000
51063349020211000000500969W0000838000 MANS CUITES D     0000020000000000000000000000000
50063365020212000000500525W0000841000 SALAT MANTEGA     0000020000000000000000000000000
51062271020214000000500545W000013100080 VEDELLA TUR     0000020000000000000000000000000
50063227020267000000500515W0000105300 ESTOMACS          0000020000000000000000000000000
50063190020272000000500759W0000103980 FILETEJAT - P     0000020000000000000000000000000
50403680020123000000701095W0000LLOM ADOBAT              0000020000000000000000000000000
50801219020171000000701185W0000Pasta vedella/porc(P     0000020000000000000000000000000
50403605020215000000700595W0000ALES POLLASTRE ADOBA     0000020000000000000000000000000
50403614020216000000700995W0000ARREBOSSAT POLLASTRE     0000020000000000000000000000000
50403601020217000000701005W0000CARN PICADA MIXTA        0000020000000000000000000000000
50403600020218000000701095W0000CARN PICADA VEDELLA      0000020000000000000000000000000
50403604020219000000700995W0000CUIXA POLLASTRE FARC     0000020000000000000000000000000
50959915020220000000700000W0000ELABORAT (PES) G3 BA     0000030000000000000000000000000
50959916020221000000700000U0000ELABORAT (UNIT) G3 B     0000030000000000000000000000000
50403617020222000000702595W0000ESPIRAL                  0000020000000000000000000000000
50403619020223000000700195U0000FORMATGE PROVOLONE A     0000020000000000000000000000000
50403606020224000000701195W0000HAMBURGUESES POLLAST     0000020000000000000000000000000
50403602020225000000701195W0000HAMBURGUESES VEDELLA     0000020000000000000000000000000
50403615020226000000700995W0000LLIBRETS                 0000020000000000000000000000000
51403611020227000000700995W0000LLOM FARCIT              0000020000000000000000000000000
51403610020228000000700995W0000LLONÇAT FARCIT           0000020000000000000000000000000
50403613020229000000700995W0000MANDONGUILLES            0000020000000000000000000000000
50403608020230000000700995W0000OSSOS SALATS CASOLAN     0000020000000000000000000000000
50403612020231000000700995W0000PICADA PORC              0000020000000000000000000000000
50403618020232000000705305W0000PICAT EMBOTITS VARIS     0000020000000000000000000000000
50403607020233000000700995W0000PINXOS POLLASTRE         0000020000000000000000000000000
50403609020234000000700995W0000PINXOS PORC              0000020000000000000000000000000
50403603020235000000701005W0000POLLASTRE FARCIT         0000020000000000000000000000000
50403620020236000000700890W0000SAFATA D'ESTOFAR         0000020000000000000000000000000
50403681020262000000701195W0000LLOM ARREBOSSAT          0000020000000000000000000000000
51063137020239000000800669W0000ESPINADA                 0000020000000000000000000000000
50801125020246000000800695W0000Vedella fetge            0000020000000000000000000000000
